,Site,Elev_km,Year,Tair_degC,CO2_ppm,SMC_mm,VPD_kPa,par_molm2mth,Modelled D13C,Measured D13C
1,Alice Holt,0.107,1979,13.04999,338.665358,181.8830763,0.48951855,NA,21.22967776,20.50385604
2,Alice Holt,0.107,1980,13.38276076,338.6653571,179.8814342,0.500997149,NA,21.27037369,20.37836726
3,Alice Holt,0.107,1981,13.44533539,339.8707013,190.6872059,0.500883438,NA,21.25464417,20.44194918
4,Alice Holt,0.107,1982,14.13267224,340.6262032,171.9217845,0.521694488,506.5688858,21.31524413,20.90448953
5,Alice Holt,0.107,1983,14.60363001,342.3103963,173.5197187,0.608789161,543.2547237,21.15763766,20.18114713
6,Alice Holt,0.107,1984,14.08344293,343.8531945,167.5525901,0.594338561,521.5655264,20.98955451,20.10835484
7,Alice Holt,0.107,1985,13.05694554,345.3340901,181.7873602,0.505316452,528.6629317,21.18832985,20.93750643
8,Alice Holt,0.107,1986,13.11347701,346.7361842,172.0516006,0.509305585,507.2006971,21.05973983,20.6961817
9,Alice Holt,0.107,1987,13.42199383,348.4819199,178.6377531,0.495812458,505.2071138,21.18309798,20.45538689
10,Alice Holt,0.107,1988,13.52435966,351.0187579,172.8492303,0.509945172,499.1384338,21.21477161,20.81339959
11,Alice Holt,0.107,1989,14.93141826,352.6575708,154.794547,0.696046729,553.4336574,20.81558087,19.74407729
12,Alice Holt,0.107,1990,14.59768821,353.8455496,118.9835707,0.714782591,570.3087659,20.65966055,19.52442608
13,Alice Holt,0.107,1991,13.79088662,355.1502296,173.2919579,0.557429842,522.8893027,21.18271566,20.05901525
14,Alice Holt,0.107,1992,14.30819038,355.8585121,182.7166818,0.560736596,530.355175,21.22206289,19.95394453
15,Alice Holt,0.107,1993,13.690688,356.5653415,181.4910275,0.525404408,536.6097119,21.0834305,20.14271613
16,Alice Holt,0.107,1994,14.25833412,358.0735214,171.7510577,0.545283758,540.922037,21.11517748,19.33627864
17,Alice Holt,0.107,1995,15.06626811,359.8972647,132.514081,0.689220534,544.3392761,20.81279406,19.13811701
18,Alice Holt,0.107,1996,13.81127277,361.6521903,142.8407861,0.640879966,551.1135877,20.90184553,19.54718765
19,Alice Holt,0.107,1997,14.76583028,362.7540715,157.862337,0.629925942,545.3843251,21.358539,20.22934129
20,Alice Holt,0.107,1998,14.1016667,365.3915819,189.1648314,0.581087191,528.9023059,21.24064411,19.68503937
21,Alice Holt,0.107,1999,14.61295216,367.4978757,181.8036722,0.62853393,565.5544109,21.27124308,19.90581752
22,Alice Holt,0.107,2000,14.31902065,368.7026478,192.0043989,0.567465778,518.5946231,21.3523345,20.07363074
23,Alice Holt,0.107,2001,14.21265304,370.2718722,167.4990513,0.578284713,532.2207582,21.17319082,19.35052924
24,Alice Holt,0.107,2002,14.15508228,372.2810539,193.2701736,0.573255521,500.0652957,21.27567662,19.87538044
25,Alice Holt,0.107,2003,14.81163787,374.8220297,131.0530043,0.705717223,580.9809018,20.85047045,19.67698492
26,Alice Holt,0.107,2004,14.59410679,376.6405423,177.9844416,0.59006457,527.8860741,21.20291237,19.86652819
27,Alice Holt,0.107,2005,14.61633739,378.6687339,141.6569085,0.619948402,557.5185494,21.18630063,19.46857172
28,Alice Holt,0.107,2006,15.39937225,380.7958664,153.9028232,0.668742979,583.603999,21.13467588,19.18630343
29,Alice Holt,0.107,2007,14.17043186,382.5255149,184.9789642,0.56997575,524.475628,21.39049485,20.07776018
30,Alice Holt,0.107,2008,14.02287968,384.6410522,195.6002985,0.621605456,538.2407714,21.31805172,20.0886658
31,Alice Holt,0.107,2009,14.31564263,386.1345172,159.5091617,0.617595442,553.9873422,21.25990579,19.63788158
32,Alice Holt,0.107,2010,13.99461135,388.4160625,150.6233561,0.643292001,503.5834622,21.13329272,19.77459227
33,Alice Holt,0.107,2011,14.09368956,390.2927875,156.3311947,0.656292707,523.8914472,21.14581534,19.83792345
34,Alice Holt,0.107,2012,13.73185207,392.3017335,203.0311834,0.573224309,514.3416388,21.47719478,19.83853551
35,Alice Holt,0.107,2013,14.2143302,395.0367432,150.1930288,0.649802259,571.7040003,21.18764716,19.05309998
36,Alice Holt,0.107,2014,15.00346844,396.9615307,189.0003462,0.643962929,580.0414524,21.3035845,19.08510704
37,Alice Holt,0.107,2015,14.05779504,399.2625554,170.0705498,0.630148681,573.9461612,21.17219228,19.73528595
38,Alice Holt,0.107,2016,14.62532605,402.69715,185.8407772,0.59429049,567.6927252,21.36420248,NA
39,Aviemore,0.3,1979,9.558769403,338.6653575,202.4576479,0.393076218,NA,21.77566317,23.50332594
40,Aviemore,0.3,1980,9.852898343,338.6653563,205.4616087,0.402713677,NA,21.90066593,22.55468661
41,Aviemore,0.3,1981,9.930687236,339.8707158,174.7829248,0.440762739,NA,21.78312144,21.60798847
42,Aviemore,0.3,1982,10.12242794,340.6262029,188.9914618,0.443423165,503.9316363,21.66529554,21.81904301
43,Aviemore,0.3,1983,10.55024687,342.3103981,188.9921523,0.424183961,509.9107308,21.76309059,21.71473286
44,Aviemore,0.3,1984,10.54739671,343.8531912,151.3489365,0.459343823,582.486919,21.54983288,20.8744856
45,Aviemore,0.3,1985,8.786091536,345.3340886,218.3370185,0.407730647,449.0757239,22.17609454,22.66309389
46,Aviemore,0.3,1986,8.535458136,346.7362042,198.2993023,0.42386583,525.2744483,21.70353521,23.08509212
47,Aviemore,0.3,1987,9.10728762,348.4819197,206.5600488,0.407770701,497.0550123,21.86160359,22.55863803
48,Aviemore,0.3,1988,10.18998379,351.0187568,206.3752796,0.426055867,520.1885942,21.88905157,23.29802704
49,Aviemore,0.3,1989,10.12547211,352.6575795,174.9873348,0.471348817,572.9980479,21.54391976,21.92878552
50,Aviemore,0.3,1990,10.19257786,353.8455497,207.1653009,0.445850747,538.9260212,21.79560993,22.0345094
51,Aviemore,0.3,1991,10.30406953,355.1502146,204.8716571,0.445778194,554.1433765,21.9078308,22.13980322
52,Aviemore,0.3,1992,10.12694739,355.8585192,187.6159716,0.459754469,540.8116574,21.7878982,21.92901139
53,Aviemore,0.3,1993,9.452541381,356.5653359,203.4490855,0.397143384,524.669844,21.85540374,22.45558349
54,Aviemore,0.3,1994,10.08709595,358.0735289,183.5989863,0.453201734,566.5817451,21.72304052,22.14025942
55,Aviemore,0.3,1995,10.73681017,359.8972545,181.346503,0.475920941,579.4036948,21.67428076,19.9344087
56,Aviemore,0.3,1996,10.10311607,361.6521903,188.1600637,0.46329955,505.7031236,21.66033005,21.30003294
